rank,niche,# Games,Est. Total Owners,Median Playtime (min),Median Review Score,Median Revenue ($),Opportunity Score,Est. Revenue Low ($),Est. Revenue High ($),Avg Price ($)
1,Multiplayer + Open World,690,1470195000,262.0,0.71413363075,749250.0,0.0033629377466630897,0.0,10496500.0,13.493275362318842
2,Multiplayer + Tactical + e-sports,6,201660000,1469.0,0.8471851365,49950.0,0.003337195273058825,0.0,112412475.0,6.661666666666666
3,Action + Multiplayer,2526,3304490000,131.0,0.75347748115,149900.0,0.0030467285817203623,0.0,2998499.9999999995,9.671322248614409
4,Action + Tactical + e-sports,6,200170000,1317.5,0.8552655678000001,87400.0,0.0029992421640666323,18725.0,112412475.0,7.91
5,PvP + Tactical + e-sports,6,200170000,1317.5,0.8471851365,109900.0,0.0029709057371470446,24975.0,112417475.0,8.66
6,Co-op + Multiplayer,1179,1735295000,189.0,0.7898700805500001,374250.0,0.0029680238988156857,0.0,7485000.0,12.182798982188295
7,Tactical + e-sports,10,201700000,1237.0,0.8087742053,99900.0,0.002682003726026372,18725.0,114900.0,7.9430000000000005
8,Multiplayer + Online Co-Op,729,1343395000,203.0,0.79963321175,399900.0,0.0026525895601071754,49900.0,5767500.0,12.287969821673526
9,Multiplayer + Shooter,789,2083150000,130.0,0.7528448557,199900.0,0.0024607966417974085,0.0,5610000.0,9.436248415716095
10,Adventure + Open World,978,1184990000,228.0,0.7485137901000001,699650.0,0.002380834515251217,74250.0,6932999.999999999,14.407893660531698
11,Action + Multiplayer + Shooter,721,1871860000,130.0,0.7524989741000001,199900.0,0.0022297449776087575,0.0,5998500.0,9.322260748959778
12,First-Person + Multiplayer,674,1631245000,141.5,0.7729257642,452275.0,0.002185597090729831,0.0,6996499.999999999,10.225890207715134
13,Multiplayer + Singleplayer,1522,1255240000,192.0,0.7895561120000001,699650.0,0.00207758344026204,29900.0,5606625.0,13.8092444152431
14,FPS + Multiplayer,668,1742265000,128.0,0.7387130048,149900.0,0.002019721711629082,0.0,5611875.0,8.557395209580838
15,Open World + Singleplayer,739,772210000,273.0,0.7853672004000001,2248500.0,0.0020113007547354136,199900.0,14992499.999999998,17.591637347767254
16,FPS + Multiplayer + Shooter,473,1615640000,131.0,0.748974348,346500.0,0.001992018005604549,0.0,7492500.0,9.308372093023255
17,Adventure + Multiplayer + Open World,303,744410000,284.0,0.70892958645,1485000.0,0.0019233692220817454,0.0,14988750.0,13.632838283828383
18,Base-Building + Multiplayer + Open World,52,261125000,719.5,0.76584056155,11371500.0,0.0019029940178424945,3897000.0,113715000.0,21.949999999999996
19,Co-op + Multiplayer + Open World,183,571455000,349.0,0.7265438609500001,2998499.9999999995,0.001886789746143513,0.0,24367500.0,16.77775956284153
20,FPS + Shooter,1240,1886920000,113.0,0.7743362832,299575.0,0.0018758186884496912,34650.0,3146500.0,10.335717741935483
21,Co-op + Crafting + Open World,43,311345000,597.0,0.7565789474,10492500.0,0.001861948737047676,787150.0,61225000.0,17.997209302325583
22,Action + Open World,1008,1098175000,197.5,0.72481093775,537275.0,0.001843314855355472,9900.0,6996499.999999999,13.945109126984127
23,Singleplayer + Story Rich,1475,893100000,210.0,0.8703105590000001,524650.0,0.0017941617233692055,117175.0,3547500.0,15.071972881355933
24,Base-Building + Co-op + Open World,31,214245000,759.0,0.8277047043,22492500.0,0.0017844789901656887,10494500.0,139965000.0,24.68064516129032
25,Co-op + Open World,227,604525000,308.0,0.7397403743000001,2998499.9999999995,0.0017839752730084751,0.0,24367500.0,17.109515418502202
